"race_m","income","income_q"
"White",10000,12.44
"White",10000,12.45
"White",10000,12.46
"White",10000,12.47
"White",10000,12.48
"White",10000,12.49
"White",10000,12.5
"White",10000,12.51
"White",10000,12.52
"White",10000,12.53
"White",10000,12.54
"White",10000,12.55
"White",10000,12.56
"White",10000,12.57
"White",10000,12.58
"White",10000,12.59
"White",10000,12.6
"White",10000,12.61
"White",10000,12.62
"White",10000,12.63
"White",10000,12.64
"White",10000,12.65
"White",10000,12.66
"White",10000,12.67
"White",10000,12.68
"White",10000,12.69
"White",10000,12.7
"White",10000,12.71
"White",10000,12.72
"White",10000,12.73
"White",10000,12.74
"White",10000,12.75
"White",10000,12.76
"White",10000,12.77
"White",10000,12.78
"White",10000,12.79
"White",10000,12.8
"White",10000,12.81
"White",10000,12.82
"White",10000,12.83
"White",10000,12.84
"White",10000,12.85
"White",10000,12.86
"White",10000,12.87
"White",10000,12.88
"White",10000,12.89
"White",10000,12.9
"White",10000,12.91
"White",10000,12.92
"White",10000,12.93
"White",10000,12.94
"White",10000,12.95
"White",10000,12.96
"White",10000,12.97
"White",10000,12.98
"White",10000,12.99
"White",10000,13
"White",10000,13.01
"White",10000,13.02
"White",10000,13.03
"White",10000,13.04
"White",10000,13.05
"White",10000,13.06
"White",10000,13.07
"White",10000,13.08
"White",10000,13.09
"White",10000,13.1
"White",10000,13.11
"White",10000,13.12
"White",10000,13.13
"White",10030,13.14
"White",10100,13.15
"White",10100,13.16
"White",10100,13.17
"White",10200,13.18
"White",10200,13.19
"White",10200,13.2
"White",10200,13.21
"White",10300,13.22
"White",10300,13.23
"White",10300,13.24
"White",10400,13.25
"White",10400,13.26
"White",10400,13.27
"White",10400,13.28
"White",10406.8019999999,13.29
"White",10500,13.3
"White",10500,13.31
"White",10500,13.32
"White",10500,13.33
"White",10500,13.34
"White",10600,13.35
"White",10600,13.36
"White",10600,13.37
"White",10700,13.38
"White",10700,13.39
"White",10700,13.4
"White",10800,13.41
"White",10800,13.42
"White",10800,13.43
"White",10800,13.44
"White",10800,13.45
"White",10900,13.46
"White",10900,13.47
"White",11000,13.48
"White",11000,13.49
"White",11000,13.5
"White",11000,13.51
"White",11000,13.52
"White",11000,13.53
"White",11000,13.54
"White",11000,13.55
"White",11000,13.56
"White",11000,13.57
"White",11000,13.58
"White",11000,13.59
"White",11000,13.6
"White",11000,13.61
"White",11000,13.62
"White",11000,13.63
"White",11000,13.64
"White",11000,13.65
"White",11000,13.66
