"class_f","income","income_q"
"Reserve Army",2200,36.82
"Reserve Army",2200,36.83
"Reserve Army",2200,36.84
"Reserve Army",2200,36.85
"Reserve Army",2200,36.86
"Reserve Army",2200,36.87
"Reserve Army",2200,36.88
"Reserve Army",2200,36.89
"Reserve Army",2200,36.9
"Reserve Army",2200,36.91
"Reserve Army",2200,36.92
"Reserve Army",2200,36.93
"Reserve Army",2200,36.94
"Reserve Army",2200,36.95
"Reserve Army",2230,36.96
"Reserve Army",2293.194,36.97
"Reserve Army",2300,36.98
"Reserve Army",2300,36.99
"Reserve Army",2300,37
"Reserve Army",2300,37.01
"Reserve Army",2300,37.02
"Reserve Army",2300,37.03
"Reserve Army",2300,37.04
"Reserve Army",2300,37.05
"Reserve Army",2300,37.06
"Reserve Army",2300,37.07
"Reserve Army",2300,37.08
"Reserve Army",2300,37.09
"Reserve Army",2300,37.1
"Reserve Army",2300,37.11
"Reserve Army",2300,37.12
"Reserve Army",2300,37.13
"Reserve Army",2300,37.14
"Reserve Army",2300,37.15
"Reserve Army",2300,37.16
"Reserve Army",2300,37.17
"Reserve Army",2300,37.18
"Reserve Army",2300,37.19
"Reserve Army",2300,37.2
"Reserve Army",2300,37.21
"Reserve Army",2300,37.22
"Reserve Army",2329.29199999999,37.23
"Reserve Army",2391.04800000001,37.24
"Reserve Army",2400,37.25
"Reserve Army",2400,37.26
"Reserve Army",2400,37.27
"Reserve Army",2400,37.28
"Reserve Army",2400,37.29
"Reserve Army",2400,37.3
"Reserve Army",2400,37.31
"Reserve Army",2400,37.32
"Reserve Army",2400,37.33
"Reserve Army",2400,37.34
"Reserve Army",2400,37.35
"Reserve Army",2400,37.36
"Reserve Army",2400,37.37
"Reserve Army",2400,37.38
"Reserve Army",2400,37.39
"Reserve Army",2400,37.4
"Reserve Army",2400,37.41
"Reserve Army",2400,37.42
"Reserve Army",2400,37.43
"Reserve Army",2400,37.44
"Reserve Army",2400,37.45
"Reserve Army",2400,37.46
"Reserve Army",2400,37.47
"Reserve Army",2400,37.48
"Reserve Army",2400,37.49
"Reserve Army",2400,37.5
"Reserve Army",2400,37.51
"Reserve Army",2400,37.52
"Reserve Army",2400,37.53
"Reserve Army",2400,37.54
"Reserve Army",2400,37.55
"Reserve Army",2400,37.56
"Reserve Army",2400,37.57
"Reserve Army",2400,37.58
"Reserve Army",2400,37.59
"Reserve Army",2400,37.6
"Reserve Army",2400,37.61
"Reserve Army",2400,37.62
"Reserve Army",2400,37.63
"Reserve Army",2400,37.64
"Reserve Army",2450,37.65
"Reserve Army",2480,37.66
"Reserve Army",2500,37.67
"Reserve Army",2500,37.68
"Reserve Army",2500,37.69
"Reserve Army",2500,37.7
"Reserve Army",2500,37.71
"Reserve Army",2500,37.72
"Reserve Army",2500,37.73
"Reserve Army",2500,37.74
"Reserve Army",2500,37.75
"Reserve Army",2500,37.76
"Reserve Army",2500,37.77
"Reserve Army",2500,37.78
"Reserve Army",2500,37.79
"Reserve Army",2500,37.8
"Reserve Army",2500,37.81
"Reserve Army",2500,37.82
"Reserve Army",2500,37.83
"Reserve Army",2500,37.84
"Reserve Army",2500,37.85
"Reserve Army",2500,37.86
"Reserve Army",2500,37.87
"Reserve Army",2500,37.88
"Reserve Army",2500,37.89
"Reserve Army",2500,37.9
"Reserve Army",2500,37.91
"Reserve Army",2500,37.92
"Reserve Army",2500,37.93
"Reserve Army",2500,37.94
"Reserve Army",2500,37.95
"Reserve Army",2500,37.96
"Reserve Army",2500,37.97
"Reserve Army",2500,37.98
"Reserve Army",2500,37.99
"Reserve Army",2500,38
"Reserve Army",2500,38.01
"Reserve Army",2500,38.02
"Reserve Army",2500,38.03
"Reserve Army",2500,38.04
"Reserve Army",2500,38.05
"Reserve Army",2500,38.06
"Reserve Army",2500,38.07
"Reserve Army",2500,38.08
"Reserve Army",2500,38.09
"Reserve Army",2500,38.1
"Reserve Army",2500,38.11
"Reserve Army",2500,38.12
"Reserve Army",2500,38.13
"Reserve Army",2500,38.14
"Reserve Army",2500,38.15
"Reserve Army",2500,38.16
"Reserve Army",2500,38.17
"Reserve Army",2500,38.18
"Reserve Army",2500,38.19
"Reserve Army",2500,38.2
"Reserve Army",2500,38.21
"Reserve Army",2500,38.22
"Reserve Army",2500,38.23
"Reserve Army",2500,38.24
"Reserve Army",2500,38.25
"Reserve Army",2500,38.26
"Reserve Army",2500,38.27
"Reserve Army",2500,38.28
"Reserve Army",2500,38.29
"Reserve Army",2519.32000000001,38.3
"Reserve Army",2550,38.31
"Reserve Army",2600,38.32
"Reserve Army",2600,38.33
"Reserve Army",2600,38.34
"Reserve Army",2600,38.35
"Reserve Army",2600,38.36
"Reserve Army",2600,38.37
"Reserve Army",2600,38.38
"Reserve Army",2600,38.39
"Reserve Army",2600,38.4
"Reserve Army",2600,38.41
"Reserve Army",2600,38.42
"Reserve Army",2600,38.43
"Reserve Army",2600,38.44
"Reserve Army",2600,38.45
"Reserve Army",2600,38.46
"Reserve Army",2600,38.47
"Reserve Army",2600,38.48
"Reserve Army",2616.29800000002,38.49
"Reserve Army",2695.40000000008,38.5
"Reserve Army",2700,38.51
"Reserve Army",2700,38.52
"Reserve Army",2700,38.53
"Reserve Army",2700,38.54
"Reserve Army",2700,38.55
"Reserve Army",2700,38.56
"Reserve Army",2700,38.57
"Reserve Army",2700,38.58
"Reserve Army",2700,38.59
"Reserve Army",2700,38.6
"Reserve Army",2700,38.61
"Reserve Army",2700,38.62
"Reserve Army",2700,38.63
"Reserve Army",2700,38.64
"Reserve Army",2700,38.65
"Reserve Army",2700,38.66
"Reserve Army",2700,38.67
"Reserve Army",2700,38.68
"Reserve Army",2710,38.69
"Reserve Army",2800,38.7
"Reserve Army",2800,38.71
"Reserve Army",2800,38.72
"Reserve Army",2800,38.73
"Reserve Army",2800,38.74
"Reserve Army",2800,38.75
"Reserve Army",2800,38.76
"Reserve Army",2800,38.77
"Reserve Army",2800,38.78
"Reserve Army",2800,38.79
"Reserve Army",2800,38.8
"Reserve Army",2800,38.81
"Reserve Army",2800,38.82
"Reserve Army",2800,38.83
"Reserve Army",2800,38.84
"Reserve Army",2800,38.85
"Reserve Army",2820,38.86
"Reserve Army",2830,38.87
"Reserve Army",2880.97600000001,38.88
"Reserve Army",2900,38.89
"Reserve Army",2900,38.9
"Reserve Army",2900,38.91
"Reserve Army",2900,38.92
"Reserve Army",2900,38.93
"Reserve Army",2900,38.94
"Reserve Army",2900,38.95
"Reserve Army",2900,38.96
"Reserve Army",2900,38.97
"Reserve Army",2900,38.98
"Reserve Army",2900,38.99
"Reserve Army",2900,39
"Reserve Army",2900,39.01
"Reserve Army",2900,39.02
"Reserve Army",2904.01199999993,39.03
"Reserve Army",3000,39.04
"Reserve Army",3000,39.05
"Reserve Army",3000,39.06
"Reserve Army",3000,39.07
"Reserve Army",3000,39.08
"Reserve Army",3000,39.09
"Reserve Army",3000,39.1
"Reserve Army",3000,39.11
"Reserve Army",3000,39.12
"Reserve Army",3000,39.13
"Reserve Army",3000,39.14
"Reserve Army",3000,39.15
"Reserve Army",3000,39.16
"Reserve Army",3000,39.17
"Reserve Army",3000,39.18
"Reserve Army",3000,39.19
"Reserve Army",3000,39.2
"Reserve Army",3000,39.21
"Reserve Army",3000,39.22
"Reserve Army",3000,39.23
"Reserve Army",3000,39.24
"Reserve Army",3000,39.25
"Reserve Army",3000,39.26
"Reserve Army",3000,39.27
"Reserve Army",3000,39.28
"Reserve Army",3000,39.29
"Reserve Army",3000,39.3
"Reserve Army",3000,39.31
"Reserve Army",3000,39.32
"Reserve Army",3000,39.33
"Reserve Army",3000,39.34
"Reserve Army",3000,39.35
"Reserve Army",3000,39.36
"Reserve Army",3000,39.37
"Reserve Army",3000,39.38
"Reserve Army",3000,39.39
"Reserve Army",3000,39.4
"Reserve Army",3000,39.41
"Reserve Army",3000,39.42
"Reserve Army",3000,39.43
"Reserve Army",3000,39.44
"Reserve Army",3000,39.45
"Reserve Army",3000,39.46
"Reserve Army",3000,39.47
